input_length,config,runs,mean_acc,std_acc
61,INT 8-2-2-2,5,98.0556,0.30975361176263744
51,INT 8-4-8-8,5,98.0522,0.4646952764984811
71,INT 4-8-8-8,5,98.047,0.5580026881655712
91,INT 4-2-4-4,5,98.0438,0.6540062690831042
71,INT 4-8-4-8,5,98.04339999999999,0.5551367399118889
51,INT 8-4-4-8,5,98.04159999999999,0.44946390288876387
71,INT 4-4-2-4,5,98.0404,0.6130018760167055
61,INT 8-2-4-8,5,98.0344,0.35723283723645094
81,INT 8-2-8-8,5,98.0296,0.6926989244975048
61,INT 8-2-2-4,5,98.0266,0.3479372069785033
71,INT 4-4-2-8,5,98.0266,0.6064971558053677
71,INT 4-8-8-4,5,98.0242,0.5333232603215436
71,INT 4-8-8-2,5,98.0212,0.5686490130124228
71,INT 4-4-8-4,5,98.018,0.5987520354871434
61,INT 4-8-4-4,5,98.0164,0.5766509342748118
71,INT 4-4-8-2,5,98.0164,0.6176631768205082
71,INT 4-4-4-8,5,98.011,0.5783515366971892
71,INT 4-4-4-4,5,98.0036,0.5704347464872721
71,INT 4-8-4-2,5,97.9992,0.574316724464823
51,INT 8-4-8-4,5,97.998,0.4801848602361348
61,INT 4-8-2-2,5,97.9926,0.5348292250803008
71,INT 4-4-2-2,5,97.99080000000001,0.5731833912457642
51,INT 8-4-4-4,5,97.9906,0.4691644700955123
61,INT 8-2-4-2,5,97.9864,0.3179595886272302
81,INT 4-2-8-2,5,97.9856,0.4756125523995339
81,INT 4-2-8-4,5,97.9854,0.48355692529422084
61,INT 4-8-2-4,5,97.9748,0.5280106059540892
61,INT 4-8-2-8,5,97.9696,0.5455646616121724
91,INT 4-2-2-4,5,97.9662,0.8853875987385378
71,INT 4-4-8-8,5,97.961,0.5299891508323561
81,INT 4-2-4-8,5,97.9608,0.4998251694342713
61,INT 8-4-4-4,5,97.9596,0.6556396113719809
51,INT 8-4-8-2,5,97.9568,0.45331523248176553
81,INT 4-2-4-4,5,97.9518,0.5196183214629769
71,INT 4-4-4-2,5,97.9356,0.5452777274013626
91,INT 4-2-4-8,5,97.934,0.6574728131261396
51,INT 8-4-4-2,5,97.92760000000001,0.41938502596063626
61,INT 4-8-4-8,5,97.92280000000001,0.5022297283116534
61,INT 4-8-8-8,5,97.9198,0.5022416748936707
61,INT 4-8-4-2,5,97.91319999999999,0.5341345336148899
51,INT 8-4-2-2,5,97.9054,0.36805339286575856
61,INT 4-8-8-4,5,97.896,0.5240982732274471
61,INT 4-8-8-2,5,97.8938,0.542377359409483
91,INT 4-2-2-8,5,97.89320000000001,0.9290385890801248
81,INT 4-2-2-4,5,97.8898,0.44703545720669813
61,INT 4-4-2-4,5,97.8566,0.5957048765957872
81,INT 4-2-8-8,5,97.848,0.6935221697970434
61,INT 4-4-8-8,5,97.8322,0.5269313997096848
91,INT 4-2-2-2,5,97.8004,0.9920155240720735
61,INT 4-4-4-2,5,97.7826,0.5936575612253255
61,INT 4-4-2-2,5,97.77919999999999,0.601749283339832
61,INT 4-4-8-2,5,97.7784,0.5912806440261753
61,INT 4-4-4-8,5,97.7778,0.5458293689423453
61,INT 4-4-2-8,5,97.773,0.6893855960201102
61,INT 4-2-4-8,5,97.7582,0.7596925035828677
61,INT 4-4-8-4,5,97.756,0.5747716938054581
61,INT 4-4-4-4,5,97.7406,0.6022829899640109
61,INT 4-2-4-4,5,97.70660000000001,0.7244044450443361
91,INT 4-2-8-8,5,97.6948,1.5048296249077497
81,INT 4-2-2-8,5,97.69460000000001,0.8295361957142093
