input_length,config,conv1_bits,conv2_bits,fc1_bits,fc2_bits,seed,label_detected,test_accuracy,train_seconds,status
101,INT 8-2-8-4,8,2,8,4,43,mixed,99.066,91.29787182807922,success
101,INT 8-2-8-4,8,2,8,4,44,mixed,99.298,88.25475239753723,success
101,INT 8-2-8-4,8,2,8,4,45,mixed,99.242,88.1690604686737,success
101,INT 8-2-8-4,8,2,8,4,46,mixed,98.899,87.8319742679596,success
101,INT 8-2-8-2,8,2,8,2,42,mixed,98.16,87.80938172340393,success
101,INT 8-2-8-2,8,2,8,2,43,mixed,99.044,87.90753936767578,success
101,INT 8-2-8-2,8,2,8,2,44,mixed,99.344,88.12567710876465,success
101,INT 8-2-8-2,8,2,8,2,45,mixed,99.264,88.42821860313416,success
101,INT 8-2-8-2,8,2,8,2,46,mixed,99.017,90.86895656585693,success
101,INT 8-2-4-8,8,2,4,8,42,mixed,98.066,88.00374412536621,success
101,INT 8-2-4-8,8,2,4,8,43,mixed,99.107,88.46833753585815,success
101,INT 8-2-4-8,8,2,4,8,44,mixed,99.488,87.89980435371399,success
101,INT 8-2-4-8,8,2,4,8,45,mixed,99.262,88.01969838142395,success
101,INT 8-2-4-8,8,2,4,8,46,mixed,99.11,87.98753523826599,success
101,INT 8-2-4-4,8,2,4,4,42,mixed,98.22,88.20376992225647,success
101,INT 8-2-4-4,8,2,4,4,43,mixed,99.059,88.22531867027283,success
101,INT 8-2-4-4,8,2,4,4,44,mixed,99.504,88.09575915336609,success
101,INT 8-2-4-4,8,2,4,4,45,mixed,99.246,88.12604022026062,success
101,INT 8-2-4-4,8,2,4,4,46,mixed,99.071,88.39747548103333,success
101,INT 8-2-4-2,8,2,4,2,42,mixed,98.157,87.95836162567139,success
101,INT 8-2-4-2,8,2,4,2,43,mixed,99.018,88.45208621025085,success
101,INT 8-2-4-2,8,2,4,2,44,mixed,99.421,88.18858981132507,success
101,INT 8-2-4-2,8,2,4,2,45,mixed,99.271,87.77690196037292,success
101,INT 8-2-4-2,8,2,4,2,46,mixed,99.041,88.57991695404053,success
101,INT 8-2-2-8,8,2,2,8,42,mixed,98.367,89.83262157440186,success
101,INT 8-2-2-8,8,2,2,8,43,mixed,98.957,89.74569463729858,success
101,INT 8-2-2-8,8,2,2,8,44,mixed,99.39,88.18302178382874,success
101,INT 8-2-2-8,8,2,2,8,45,mixed,99.286,88.41940069198608,success
101,INT 8-2-2-8,8,2,2,8,46,mixed,98.838,88.12913823127747,success
101,INT 8-2-2-4,8,2,2,4,42,mixed,98.374,88.13215160369873,success
101,INT 8-2-2-4,8,2,2,4,43,mixed,98.983,88.13893270492554,success
101,INT 8-2-2-4,8,2,2,4,44,mixed,99.295,88.62379622459412,success
101,INT 8-2-2-4,8,2,2,4,45,mixed,99.269,87.73523545265198,success
101,INT 8-2-2-4,8,2,2,4,46,mixed,98.96,88.0726957321167,success
