input_length,size_MiB_total,size_MB_total,size_KiB_total,size_KB_total,config,runs,mean_acc,std_acc
81,0.155506,0.16306,159.238,163.06,INT 8-8-8-4,5,98.6728,0.3335
81,0.155315,0.16286,159.043,162.86,INT 8-8-8-2,5,98.6664,0.3282
81,0.07864,0.08246,80.527,82.46,INT 8-8-4-8,5,98.6692,0.3448
81,0.078259,0.08206,80.137,82.06,INT 8-8-4-4,5,98.6624,0.3342
81,0.078068,0.08186,79.941,81.86,INT 8-8-4-2,5,98.649,0.3219
81,0.040016,0.04196,40.977,41.96,INT 8-8-2-8,5,98.6832,0.3113
81,0.039635,0.04156,40.586,41.56,INT 8-8-2-4,5,98.6604,0.3081
81,0.039444,0.04136,40.391,41.36,INT 8-8-2-2,5,98.672,0.3285
81,0.155745,0.16331,159.482,163.31,INT 8-4-8-8,5,98.6606,0.3085
81,0.155363,0.16291,159.092,162.91,INT 8-4-8-4,5,98.6342,0.3179
81,0.155172,0.16271,158.896,162.71,INT 8-4-8-2,5,98.639,0.3116
81,0.078497,0.08231,80.381,82.31,INT 8-4-4-8,5,98.624,0.2831
81,0.078115,0.08191,79.99,81.91,INT 8-4-4-4,5,98.6744,0.3634
81,0.077925,0.08171,79.795,81.71,INT 8-4-4-2,5,98.6412,0.3767
81,0.039873,0.04181,40.83,41.81,INT 8-4-2-8,5,98.6194,0.3558
81,0.039492,0.04141,40.439,41.41,INT 8-4-2-4,5,98.6494,0.3506
81,0.039301,0.04121,40.244,41.21,INT 8-4-2-2,5,98.6582,0.3714
81,0.155673,0.163235,159.409,163.235,INT 8-2-8-8,5,98.0296,0.6927
81,0.155292,0.162835,159.019,162.835,INT 8-2-8-4,5,98.1244,0.5381
81,0.155101,0.162635,158.823,162.635,INT 8-2-8-2,5,98.1508,0.5334
81,0.078425,0.082235,80.308,82.235,INT 8-2-4-8,5,98.2222,0.5296
81,0.078044,0.081835,79.917,81.835,INT 8-2-4-4,5,98.0988,0.5693
81,0.077853,0.081635,79.722,81.635,INT 8-2-4-2,5,98.2202,0.4785
81,0.039802,0.041735,40.757,41.735,INT 8-2-2-8,5,98.2628,0.4495
81,0.03942,0.041335,40.366,41.335,INT 8-2-2-4,5,98.3276,0.4909
81,0.039229,0.041135,40.171,41.135,INT 8-2-2-2,5,98.1492,0.5194
81,0.155859,0.16343,159.6,163.43,INT 4-8-8-8,5,98.5284,0.2146
81,0.155478,0.16303,159.209,163.03,INT 4-8-8-4,5,98.5236,0.2138
81,0.155287,0.16283,159.014,162.83,INT 4-8-8-2,5,98.5248,0.1855
81,0.078611,0.08243,80.498,82.43,INT 4-8-4-8,5,98.5328,0.199
81,0.07823,0.08203,80.107,82.03,INT 4-8-4-4,5,98.5274,0.2044
81,0.078039,0.08183,79.912,81.83,INT 4-8-4-2,5,98.513,0.1968
81,0.039988,0.04193,40.947,41.93,INT 4-8-2-8,5,98.5238,0.1864
81,0.039606,0.04153,40.557,41.53,INT 4-8-2-4,5,98.5352,0.2016
81,0.039415,0.04133,40.361,41.33,INT 4-8-2-2,5,98.5286,0.1616
81,0.155716,0.16328,159.453,163.28,INT 4-4-8-8,5,98.529,0.2664
81,0.155334,0.16288,159.062,162.88,INT 4-4-8-4,5,98.505,0.246
81,0.155144,0.16268,158.867,162.68,INT 4-4-8-2,5,98.4938,0.2686
81,0.078468,0.08228,80.352,82.28,INT 4-4-4-8,5,98.4974,0.2424
81,0.078087,0.08188,79.961,81.88,INT 4-4-4-4,5,98.4808,0.2375
81,0.077896,0.08168,79.766,81.68,INT 4-4-4-2,5,98.4942,0.2599
81,0.039845,0.04178,40.801,41.78,INT 4-4-2-8,5,98.4824,0.28
81,0.039463,0.04138,40.41,41.38,INT 4-4-2-4,5,98.4078,0.3976
81,0.039272,0.04118,40.215,41.18,INT 4-4-2-2,5,98.5188,0.2465
81,0.155644,0.163205,159.38,163.205,INT 4-2-8-8,5,97.848,0.6935
81,0.155263,0.162805,158.989,162.805,INT 4-2-8-4,5,97.9854,0.4836
81,0.155072,0.162605,158.794,162.605,INT 4-2-8-2,5,97.9856,0.4756
81,0.078397,0.082205,80.278,82.205,INT 4-2-4-8,5,97.9608,0.4998
81,0.078015,0.081805,79.888,81.805,INT 4-2-4-4,5,97.9518,0.5196
