ace_rank,alpha,config,mean_acc,std_acc,size_kb,ace,omega,hawq_rank,hawq_compression_ratio
46,61,INT 8-8-8-8,98.1678,0.6019,123.46,-0.010405241935483901,2.1013187506468967e-05,20,1.0
47,61,INT 8-8-4-8,98.166,0.6095,62.46,-0.010423387096774255,3.1226743885781616e-05,19,1.7282712511938874
48,61,INT 8-8-4-4,98.1504,0.6082,62.06,-0.010580645161290304,6.816362292738631e-05,18,1.7365642994241843
49,81,INT 8-2-2-2,98.1492,0.5194,41.135,-0.010592741935483967,0.008753013797104359,7,3.7176333882056745
50,61,INT 8-4-2-2,98.138,0.6081,31.21,-0.010705645161290299,0.0018576635047793388,13,3.3270512525856124
51,71,INT 8-2-2-2,98.1284,0.4386,36.135,-0.010802419354838746,0.05337964743375778,3,3.7177873468035774
52,61,INT 8-4-2-8,98.117,0.6112,31.81,-0.010917338709677402,0.0007828180096112192,15,3.281795511221945
53,51,INT 8-8-2-2,98.1152,0.316,26.36,-0.010935483870967756,0.00011801450455095619,6,2.749886518384022
54,61,INT 8-4-2-4,98.0876,0.6821,31.41,-0.011213709677419435,0.0008197549032047391,14,3.3118279569892475
55,51,INT 8-8-4-2,98.0766,0.3617,51.86,-0.011324596774193585,-4.737800554721616e-05,7,1.7418056354226568
56,51,INT 8-8-8-2,98.0748,0.385,102.86,-0.011342741935483937,-5.735466766054742e-05,8,1.0049767750497678
57,61,INT 8-2-2-8,98.0562,0.2853,31.735,-0.011530241935483859,0.01598198339343071,9,3.661565701277349
58,61,INT 8-2-2-2,98.0556,0.3098,31.135,-0.01153629032258069,0.01705682836472988,7,3.7179915243354307
59,61,INT 8-2-2-4,98.0266,0.3479,31.335,-0.011828629032258073,0.01601891964673996,8,3.698990673310336
60,71,INT 4-4-2-2,97.9908,0.5732,36.18,-0.012189516129032357,0.008055225946009159,4,3.472772277227723
61,91,INT 4-2-2-4,97.9662,0.8854,46.305,-0.012437500000000021,0.027325382456183434,5,3.887115679379677
62,51,INT 8-4-2-2,97.9054,0.3681,26.21,-0.013050403225806478,0.000757684581913054,5,3.327657237022796
63,91,INT 4-2-2-8,97.8932,0.929,46.705,-0.013173387096774292,0.027325278148055077,6,3.8592784889445886
64,81,INT 4-2-2-4,97.8898,0.447,41.305,-0.01320766129032267,0.012690478004515171,5,3.8854366966906184
65,61,INT 4-4-2-4,97.8566,0.5957,31.38,-0.013542338709677445,0.006228921934962273,11,3.4565425023877747
66,91,INT 4-2-2-2,97.8004,0.992,46.105,-0.014108870967742002,0.027328452095389366,4,3.9011854130847885
67,61,INT 4-4-2-2,97.7792,0.6017,31.18,-0.014322580645161289,0.007266830652952194,10,3.4731285988483687
